#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Dengue4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Dengue4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Dengue4" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Dengue4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Dengue4">
#                    <trait id="dateTrait.t:Dengue4" spec="beast.evolution.tree.TraitSet" traitname="date">
#                D4Brazi_1982=1982.0,
#D4ElSal_1983=1983.0,
#D4ElSal_1994=1994.0,
#D4Indon_1976=1976.0,
#D4Indon_1977=1977.0,
#D4Mexico_1984=1984.0,
#D4NewCal_1981=1981.0,
#D4Philip_1964=1964.0,
#D4Philip_1956=1956.0,
#D4Philip_1984=1984.0,
#D4PRico_1986=1986.0,
#D4SLanka_1978=1978.0,
#D4Tahiti_1979=1979.0,
#D4Tahiti_1985=1985.0,
#D4Thai_1963=1963.0,
#D4Thai_1978=1978.0,
#D4Thai_1984=1984.0                
#                                    <taxa id="TaxonSet.Dengue4" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Dengue4"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:Dengue4" name="distribution">
#            <parameter id="clockRate.c:Dengue4" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:Dengue4" name="distribution">
#            <parameter id="kappa.s:Dengue4" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Dengue4" name="distribution" x="@popSize.t:Dengue4">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <distribution id="D4PRico  .prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:Dengue4">
#            <taxonset id="D4PRico  " spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="D4PRico_1986" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">1986.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">5.0</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Dengue4" id="treeLikelihood.Dengue4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Dengue4">
#            <siteModel id="SiteModel.s:Dengue4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Dengue4" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Dengue4" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Dengue4" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Dengue4" kappa="@kappa.s:Dengue4" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:Dengue4" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:Dengue4" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Dengue4" id="StrictClock.c:Dengue4" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Dengue4	TreeHeight	clockRate	kappa	popSize	CoalescentConstant	logP(mrca(D4PRico  .prior))	height(D4PRico_1986)	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
300000	-3932.430918014842	-3851.594724041332	-80.8361939735099	-3851.594724041332	67.41714470498623	8.657109176123892E-4	19.28155915805559	27.773915568839065	-69.60339297847976	-2.579227532242173	1984.4054610916726	0.29081740858582283	0.22236999482915154	0.2409424485802511	0.2458701480047745
310000	-3938.693738194407	-3856.331139058582	-82.36259913582516	-3856.331139058582	73.56389004702955	8.228798739461396E-4	20.145530031993314	19.628515356975704	-71.34350126238618	-2.6132296300134668	1988.0597716423756	0.2755126241884522	0.2376747792265222	0.23987629321268966	0.24693630337233594
320000	-3932.279400539802	-3848.600650848432	-83.67874969136994	-3848.600650848432	69.75251322955366	8.152914006662162E-4	21.037563430979436	40.08825737930722	-71.92500258890331	-2.5343094652032914	1986.5446567526672	0.265943849436373	0.2235830712944273	0.248989164330937	0.2614839149382626
330000	-3937.8807382252994	-3851.562701814357	-86.31803641094275	-3851.562701814357	72.65159794807813	6.016455040907879E-4	18.336740155034633	26.1443004848619	-75.24381303122787	-2.5935474373582217	1987.8051453088249	0.25882523268156266	0.2341910722218688	0.248989164330937	0.25799453076563145
340000	-3935.486835377315	-3850.702844625334	-84.78399075198098	-3850.702844625334	66.3617453552708	8.080557336713612E-4	17.055276806304843	27.259372483547068	-73.82234945650544	-2.5984752686905	1987.872148806208	0.27889883648679187	0.2208870104712311	0.26080495632489953	0.23940919671707744
350000	-3934.4583590732414	-3850.738084364934	-83.72027470830737	-3850.738084364934	76.83240728106738	7.729296777882921E-4	19.609389208087048	28.008891386942977	-72.21591891970702	-2.8042681417096444	1989.714106191743	0.27889883648679187	0.21923734734901978	0.25159059219597624	0.2502732239682121
360000	-3936.368246079495	-3856.597221862928	-79.77102421656667	-3856.597221862928	64.04987109258488	8.821256246211312E-4	15.06086334445158	30.86239769505149	-68.97159816843293	-2.5776947204801015	1987.5703228146042	0.28281795959465217	0.20503946394491904	0.24438673443742542	0.2677558420230034
370000	-3933.9639444720456	-3850.34715233263	-83.61679213941582	-3850.34715233263	69.01093587359843	8.184657776555803E-4	18.313419005412705	30.610484742699157	-72.3098642280255	-2.671367489288911	1988.6738646529896	0.2758039782116672	0.21532823971495144	0.25610674279458145	0.2527610392788
380000	-3933.472923539728	-3850.0457900326046	-83.42713350712349	-3850.0457900326046	68.64341936646939	7.817641569722345E-4	16.793091416789128	30.177621205028974	-72.45335390543427	-2.5425339776816775	1985.1586459709818	0.29934724377218197	0.19178497415443663	0.25610674279458145	0.2527610392788
390000	-3931.636438046907	-3849.9103674576345	-81.7260705892725	-3849.9103674576345	62.33138710308595	8.080267113684547E-4	13.4074131432877	34.70821677585091	-71.05704289341948	-2.5692485999573362	1987.429548081013	0.2902973510839709	0.21795883845310293	0.22993287849591515	0.26181093196701105
400000	-3926.843568820866	-3847.1093244536446	-79.73424436722154	-3847.1093244536446	61.41830334484991	9.189644748915737E-4	16.337947792213676	33.89910651964514	-68.56180986422318	-2.684158672237099	1988.7908979433	0.29846067931757475	0.2124965842263322	0.24341059685725835	0.24563213959883476
410000	-3935.977252108852	-3850.7042663467882	-85.272985762064	-3850.7042663467882	77.01770363331018	7.2975022587081E-4	17.97070521426602	35.31152394273297	-73.87010227901665	-2.666297115835141	1988.626029990274	0.28977843731385816	0.21555965092965806	0.2477598775112901	0.24690203424519372
420000	-3926.702969465416	-3845.54835349133	-81.15461597408583	-3845.54835349133	65.68321843681164	8.430923309323131E-4	21.044276015591205	24.942295698938334	-69.8495510814308	-2.559408863046799	1987.2456407469256	0.2793789604358672	0.21555965092965806	0.2477598775112901	0.2573015111231847
430000	-3934.6424964665466	-3848.8356239105797	-85.80687255596706	-3848.8356239105797	72.69797487572701	7.233855095654123E-4	17.254021421610087	37.33663005515153	-73.84527937340769	-3.2586041825576353	1992.042465295386	0.28595111695738734	0.20243922710894632	0.2698725851227966	0.24173707081086981
440000	-3928.61047852359	-3848.405864124078	-80.20461439951148	-3848.405864124078	66.76218758920162	8.699332792238677E-4	15.462203592362664	27.74589583162306	-69.3316381310143	-2.702358218514536	1983.050578252642	0.28595111695738734	0.22428975262782924	0.24802205960391369	0.24173707081086981
450000	-3936.9025064046923	-3858.5602481503292	-78.34225825436327	-3858.5602481503292	59.085584968804305	0.0010169131662871149	20.621692072444304	31.09831523822445	-66.53690328489452	-2.885833905668407	1990.2276320797205	0.28595111695738734	0.21064301958890394	0.261668792642839	0.24173707081086981
460000	-3933.8638187965466	-3851.5051393782132	-82.35867941833341	-3851.5051393782132	65.54090960160727	8.54887401172701E-4	12.692076471539552	42.05400600349338	-71.29374130962968	-2.883047352655608	1990.2111216262228	0.27745320844367954	0.21064301958890394	0.261668792642839	0.2502349793245776
470000	-3932.5049081463253	-3849.2987796985662	-83.20612844775901	-3849.2987796985662	66.37013690139226	8.646687278401355E-4	11.212461549252101	45.89707481629524	-72.64772101396677	-2.5303502896288905	1986.3141531465797	0.27745320844367954	0.21064301958890394	0.25518093397348257	0.256722837993934
480000	-3934.9065746272795	-3852.8773311113273	-82.029243515952	-3852.8773311113273	66.89339235601015	7.77477072623392E-4	11.195271309358521	36.37916166402081	-71.68321853531947	-2.5532981167571824	1987.1162811276379	0.27619807689841336	0.2155056322442854	0.2447028729640418	0.26359341789325946
490000	-3929.869218392375	-3848.7037011952657	-81.16551719710934	-3848.7037011952657	65.56961402308433	8.525587833340997E-4	15.72439890037378	35.107903841224676	-70.14592666617511	-2.578020681206974	1987.575503658647	0.2790196177409362	0.2155056322442854	0.24826814158399196	0.2572066084307864
500000	-3929.81456656288	-3844.9223741900323	-84.89219237284783	-3844.9223741900323	69.90579716729536	7.816025866821272E-4	22.249931261936517	33.871349830979874	-72.6083171961374	-3.1025393955539258	1991.3579984598503	0.27799727971118876	0.21652797027403284	0.24826814158399196	0.2572066084307864
